preproduction payer_id,payer_name,payer_country,payer_service,payer_currency,transaction_type
283,BPD Sulteng,Indonesia,BankAccount,IDR,B2C
269,BPD Sumsel,Indonesia,BankAccount,IDR,C2C
269,BPD Sumsel,Indonesia,BankAccount,IDR,B2B
269,BPD Sumsel,Indonesia,BankAccount,IDR,B2C
331,BPR LSB,Indonesia,BankAccount,IDR,C2C
300,BTPN,Indonesia,BankAccount,IDR,B2B
300,BTPN,Indonesia,BankAccount,IDR,C2C
300,BTPN,Indonesia,BankAccount,IDR,B2C
328,Centra Tama Nasional,Indonesia,BankAccount,IDR,C2C
228,Citibank N.a.,Indonesia,BankAccount,IDR,B2B
228,Citibank N.a.,Indonesia,BankAccount,IDR,B2C
228,Citibank N.a.,Indonesia,BankAccount,IDR,C2C
234,Hongkong And Shanghai Banking Corporation Limited The,Indonesia,BankAccount,IDR,B2C
234,Hongkong And Shanghai Banking Corporation Limited The,Indonesia,BankAccount,IDR,C2C
234,Hongkong And Shanghai Banking Corporation Limited The,Indonesia,BankAccount,IDR,B2B
257,Jtrust Bank,Indonesia,BankAccount,IDR,C2C
297,Kesawan,Indonesia,BankAccount,IDR,B2B
297,Kesawan,Indonesia,BankAccount,IDR,C2C
297,Kesawan,Indonesia,BankAccount,IDR,B2C
336,Maybank,Indonesia,BankAccount,IDR,B2B
336,Maybank,Indonesia,BankAccount,IDR,B2C
336,Maybank,Indonesia,BankAccount,IDR,C2C
222,Panin Capital Pt,Indonesia,BankAccount,IDR,C2C
222,Panin Capital Pt,Indonesia,BankAccount,IDR,B2C
222,Panin Capital Pt,Indonesia,BankAccount,IDR,B2B
3078,PRIMA MASTER BANK,Indonesia,BankAccount,IDR,C2C
251,Pt Bank Bumi Arta Tbk,Indonesia,BankAccount,IDR,B2C
251,Pt Bank Bumi Arta Tbk,Indonesia,BankAccount,IDR,B2B
251,Pt Bank Bumi Arta Tbk,Indonesia,BankAccount,IDR,C2C
223,Pt. Bank Cimb Niaga Tbk.,Indonesia,BankAccount,IDR,B2C
223,Pt. Bank Cimb Niaga Tbk.,Indonesia,BankAccount,IDR,C2C
223,Pt. Bank Cimb Niaga Tbk.,Indonesia,BankAccount,IDR,B2B
218,Pt. Bank Danamon Indonesia Tbk,Indonesia,BankAccount,IDR,B2B
218,Pt. Bank Danamon Indonesia Tbk,Indonesia,BankAccount,IDR,C2C
218,Pt. Bank Danamon Indonesia Tbk,Indonesia,BankAccount,IDR,B2C
1768,PT Bank ICBC Indonesia,Indonesia,BankAccount,IDR,B2C
1768,PT Bank ICBC Indonesia,Indonesia,BankAccount,IDR,C2C
263,Pt. Bank Jatim,Indonesia,BankAccount,IDR,C2C
263,Pt. Bank Jatim,Indonesia,BankAccount,IDR,B2C
